Partition	Size	Members
2042_0	2	transcript/10373,transcript/23952
2043_0	7	transcript/11156,transcript/9887,transcript/8993,transcript/2804,transcript/10201,transcript/10138,transcript/9282
2044_0	2	transcript/7713,transcript/8816
2045_0	5	transcript/13648,transcript/12550,transcript/11422,transcript/9973,transcript/10359
2047_0	5	transcript/10867,transcript/13539,transcript/9842,transcript/9711,transcript/11987
2048_0	8	transcript/9878,transcript/14326,transcript/9696,transcript/13223,transcript/13814,transcript/12008,transcript/11481,transcript/19307
2049_0	5	transcript/15854,transcript/14313,transcript/19229,transcript/6745,transcript/8543
2050_0	3	transcript/13362,transcript/10622,transcript/10120
2050_1	2	transcript/3913,transcript/5620
2051_0	2	transcript/10194,transcript/8116
205_1	3	transcript/1240,transcript/1268,transcript/1309
2052_0	8	transcript/13476,transcript/8998,transcript/15949,transcript/18200,transcript/9069,transcript/12000,transcript/11784,transcript/16072
2053_0	2	transcript/10029,transcript/11797
2054_0	3	transcript/10163,transcript/11640,transcript/13005
2055_0	5	transcript/10271,transcript/12077,transcript/8791,transcript/17244,transcript/14303
2056_0	8	transcript/10660,transcript/10755,transcript/42245,transcript/7390,transcript/11926,transcript/40752,transcript/18683,transcript/10420
2057_0	3	transcript/11715,transcript/10442,transcript/13231
2059_0	5	transcript/14521,transcript/13546,transcript/15739,transcript/12240,transcript/10016
2060_0	5	transcript/12435,transcript/10159,transcript/11424,transcript/11544,transcript/14267
206_0	2	transcript/1373,transcript/1244
2062_0	2	transcript/9794,transcript/10110
2063_0	4	transcript/23514,transcript/10126,transcript/16259,transcript/9998
2064_0	5	transcript/10186,transcript/11878,transcript/9299,transcript/10233,transcript/19398
2066_0	3	transcript/10914,transcript/9949,transcript/7904
2067_0	8	transcript/36114,transcript/12744,transcript/9841,transcript/11395,transcript/28056,transcript/10324,transcript/10659,transcript/9707
2068_0	2	transcript/7950,transcript/10346
2069_0	3	transcript/17465,transcript/12180,transcript/18793
2069_1	3	transcript/13593,transcript/10595,transcript/17561
2071_0	5	transcript/8740,transcript/13162,transcript/12489,transcript/10044,transcript/10696
2072_0	2	transcript/14405,transcript/10605
2073_0	2	transcript/10125,transcript/11820
2074_0	7	transcript/10931,transcript/9480,transcript/13837,transcript/17183,transcript/18643,transcript/10139,transcript/13218
2074_8	2	transcript/14494,transcript/19342
2075_0	2	transcript/11705,transcript/10288
2076_0	2	transcript/57159,transcript/8812
2076_2	1	transcript/30331
2077_0	5	transcript/19582,transcript/13636,transcript/7090,transcript/11857,transcript/9506
2078_0	2	transcript/8792,transcript/10351
2079_0	2	transcript/11352,transcript/20918
2080_0	4	transcript/14784,transcript/11662,transcript/10815,transcript/16011
2081_0	3	transcript/10518,transcript/8005,transcript/10063
208_0	9	transcript/1286,transcript/22389,transcript/25152,transcript/21419,transcript/12950,transcript/24330,transcript/13949,transcript/1601,transcript/19821
2082_0	2	transcript/10969,transcript/9101
2083_0	4	transcript/13678,transcript/10074,transcript/12025,transcript/9347
2083_1	6	transcript/15170,transcript/13577,transcript/11785,transcript/6682,transcript/7897,transcript/8134
2083_8	3	transcript/12137,transcript/10734,transcript/16334
2084_0	4	transcript/14983,transcript/12976,transcript/14412,transcript/10358
2085_0	8	transcript/13921,transcript/12665,transcript/12560,transcript/10716,transcript/10336,transcript/17226,transcript/12359,transcript/12028
2086_0	28	transcript/30508,transcript/31960,transcript/66347,transcript/33344,transcript/3542,transcript/26006,transcript/28946,transcript/29094,transcript/24464,transcript/32038,transcript/25286,transcript/27710,transcript/20018,transcript/23494,transcript/22517,transcript/29708,transcript/26971,transcript/40189,transcript/42884,transcript/63381,transcript/31875,transcript/23871,transcript/20511,transcript/42877,transcript/33016,transcript/28321,transcript/27582,transcript/33897
2086_1	17	transcript/41877,transcript/44384,transcript/22950,transcript/31916,transcript/5795,transcript/28508,transcript/23508,transcript/27090,transcript/23087,transcript/65903,transcript/25385,transcript/34128,transcript/34330,transcript/32428,transcript/33465,transcript/28413,transcript/36021
2086_16	2	transcript/16635,transcript/25309
2086_65	16	transcript/25050,transcript/17906,transcript/65649,transcript/31562,transcript/32740,transcript/10157,transcript/32434,transcript/26817,transcript/32439,transcript/26225,transcript/33799,transcript/29898,transcript/24944,transcript/27665,transcript/35454,transcript/32711
2087_0	4	transcript/12039,transcript/10539,transcript/15300,transcript/10412
2088_0	5	transcript/6336,transcript/11633,transcript/7603,transcript/13396,transcript/12942
2089_0	6	transcript/10069,transcript/8760,transcript/11454,transcript/11594,transcript/11438,transcript/12504
2089_2	2	transcript/60876,transcript/57476
2089_4	2	transcript/9955,transcript/9475
2089_14	2	transcript/7992,transcript/8256
2090_0	16	transcript/12974,transcript/10151,transcript/10093,transcript/10184,transcript/12499,transcript/14602,transcript/10828,transcript/16971,transcript/9406,transcript/13953,transcript/15966,transcript/11582,transcript/11019,transcript/13136,transcript/15997,transcript/64875
2091_0	5	transcript/22911,transcript/8923,transcript/18396,transcript/10215,transcript/11426
2091_8	4	transcript/10634,transcript/14081,transcript/33350,transcript/16926
2092_0	4	transcript/13626,transcript/13610,transcript/10203,transcript/10179
2093_0	2	transcript/11838,transcript/10189
2094_0	7	transcript/19548,transcript/15415,transcript/14301,transcript/18848,transcript/14781,transcript/16071,transcript/10426
2095_0	2	transcript/7689,transcript/8136
2095_1	2	transcript/10890,transcript/10685
2096_0	3	transcript/15148,transcript/11841,transcript/10000
2097_0	15	transcript/10019,transcript/16007,transcript/17203,transcript/9926,transcript/13757,transcript/12457,transcript/16161,transcript/16156,transcript/14964,transcript/11766,transcript/15441,transcript/17081,transcript/11437,transcript/57894,transcript/11788
2098_0	2	transcript/16923,transcript/10108
2099_0	12	transcript/11919,transcript/17135,transcript/11006,transcript/17774,transcript/9442,transcript/12957,transcript/12926,transcript/11957,transcript/13307,transcript/12683,transcript/8465,transcript/14501
2099_2	8	transcript/9743,transcript/24752,transcript/12767,transcript/21283,transcript/16759,transcript/12015,transcript/10220,transcript/13549
2100_0	6	transcript/31494,transcript/32567,transcript/30218,transcript/10272,transcript/35645,transcript/38458
2101_0	2	transcript/9896,transcript/9109
210_0	4	transcript/66342,transcript/34521,transcript/36663,transcript/47195
210_1	3	transcript/31471,transcript/14117,transcript/11409
210_4	3	transcript/1480,transcript/1315,transcript/1529
210_8	5	transcript/1934,transcript/1265,transcript/1785,transcript/1449,transcript/1448
210_16	3	transcript/41223,transcript/38802,transcript/52237
210_18	2	transcript/44039,transcript/41993
210_21	2	transcript/57682,transcript/59509
2102_0	4	transcript/9075,transcript/13429,transcript/11655,transcript/10009
2103_0	3	transcript/13669,transcript/10258,transcript/17676
2104_0	3	transcript/12258,transcript/9168,transcript/10292
2105_0	3	transcript/9417,transcript/10310,transcript/10421
2106_0	9	transcript/11065,transcript/7187,transcript/11996,transcript/10446,transcript/19750,transcript/10599,transcript/35630,transcript/5750,transcript/10760
2106_8	2	transcript/40493,transcript/14917
2107_0	6	transcript/18850,transcript/14218,transcript/14618,transcript/11875,transcript/18607,transcript/16274
2107_8	5	transcript/10700,transcript/19657,transcript/13657,transcript/12379,transcript/13623
2108_0	2	transcript/10026,transcript/12821
2109_0	7	transcript/23512,transcript/23223,transcript/12541,transcript/17943,transcript/8856,transcript/10447,transcript/10782
2109_1	1	transcript/66837
2109_2	15	transcript/10040,transcript/18868,transcript/15219,transcript/12434,transcript/16425,transcript/10650,transcript/10380,transcript/18690,transcript/12917,transcript/15101,transcript/22153,transcript/14173,transcript/18765,transcript/9364,transcript/13284
2110_0	3	transcript/10537,transcript/8909,transcript/10199
2111_0	3	transcript/18501,transcript/12168,transcript/21403
2111_1	8	transcript/14312,transcript/17736,transcript/14049,transcript/13161,transcript/17362,transcript/9934,transcript/12033,transcript/13559
2111_2	2	transcript/28369,transcript/14897
211_1	3	transcript/1463,transcript/1412,transcript/15923
2112_0	4	transcript/17526,transcript/10330,transcript/12565,transcript/6605
2113_0	18	transcript/48641,transcript/53385,transcript/52284,transcript/45725,transcript/53728,transcript/42929,transcript/46517,transcript/49597,transcript/55845,transcript/53904,transcript/50624,transcript/10344,transcript/52622,transcript/45465,transcript/53861,transcript/52264,transcript/10628,transcript/48664
2114_0	15	transcript/11537,transcript/10005,transcript/18081,transcript/15489,transcript/9941,transcript/7127,transcript/8907,transcript/12788,transcript/9917,transcript/9243,transcript/11914,transcript/11889,transcript/13203,transcript/20514,transcript/14839
2115_0	2	transcript/18285,transcript/14379
2115_1	2	transcript/17658,transcript/14498
2115_10	2	transcript/13795,transcript/7823
2116_0	3	transcript/10223,transcript/27395,transcript/12154
2117_0	3	transcript/8977,transcript/12816,transcript/10302
2118_0	6	transcript/11285,transcript/10124,transcript/10333,transcript/13194,transcript/13720,transcript/14018
2120_0	2	transcript/8301,transcript/10383
2121_0	5	transcript/35846,transcript/52238,transcript/46789,transcript/10047,transcript/50472
21_0	7	transcript/506,transcript/449,transcript/662,transcript/689,transcript/730,transcript/686,transcript/571
21_2	1	transcript/63741
2122_0	2	transcript/9984,transcript/10090
2123_0	4	transcript/11290,transcript/9906,transcript/10146,transcript/19021
2124_0	6	transcript/10192,transcript/22503,transcript/11477,transcript/30041,transcript/12102,transcript/12418
2125_0	10	transcript/5218,transcript/11273,transcript/8295,transcript/36745,transcript/66240,transcript/33695,transcript/11508,transcript/42578,transcript/10641,transcript/7215
2125_8	4	transcript/10214,transcript/10917,transcript/12283,transcript/13480
2126_0	7	transcript/21846,transcript/8609,transcript/13395,transcript/12228,transcript/10246,transcript/10859,transcript/12067
2127_0	3	transcript/17128,transcript/16466,transcript/10491
2127_1	4	transcript/9783,transcript/7304,transcript/6926,transcript/8496
2130_0	3	transcript/10312,transcript/12288,transcript/10409
2131_0	2	transcript/10335,transcript/5619
213_0	5	transcript/26529,transcript/24539,transcript/17819,transcript/19753,transcript/18592
213_3	2	transcript/24858,transcript/1225
2132_0	2	transcript/14862,transcript/15793
2132_1	2	transcript/6183,transcript/10058
2134_0	3	transcript/10437,transcript/11083,transcript/13557
2135_0	3	transcript/11933,transcript/9491,transcript/10441
2136_0	4	transcript/29721,transcript/34531,transcript/21261,transcript/22230
2136_1	6	transcript/21440,transcript/28772,transcript/30286,transcript/26896,transcript/25818,transcript/28612
2136_3	7	transcript/16854,transcript/25555,transcript/23713,transcript/25012,transcript/25387,transcript/29004,transcript/25978
2136_33	11	transcript/30345,transcript/27546,transcript/34743,transcript/37245,transcript/36413,transcript/20079,transcript/23684,transcript/63761,transcript/36588,transcript/25831,transcript/31542
2136_32	5	transcript/22297,transcript/28176,transcript/27250,transcript/23720,transcript/25715
2136_10	2	transcript/19175,transcript/23234
2136_50	4	transcript/27038,transcript/43981,transcript/31846,transcript/30176
2136_35	6	transcript/27787,transcript/21902,transcript/38207,transcript/22783,transcript/25771,transcript/30677
2136_52	4	transcript/26423,transcript/25729,transcript/10840,transcript/26419
2136_42	2	transcript/27040,transcript/24966
2137_0	2	transcript/9408,transcript/10910
2138_0	5	transcript/10284,transcript/10775,transcript/19267,transcript/19258,transcript/22381
2139_0	2	transcript/10372,transcript/13077
2141_0	4	transcript/10349,transcript/10907,transcript/18460,transcript/7856
214_0	4	transcript/18633,transcript/2094,transcript/31805,transcript/1226
2142_0	2	transcript/10444,transcript/10800
2143_0	3	transcript/12663,transcript/10493,transcript/11217
2144_0	15	transcript/14316,transcript/12748,transcript/12412,transcript/14757,transcript/16016,transcript/14798,transcript/24038,transcript/19876,transcript/22612,transcript/9092,transcript/11470,transcript/15597,transcript/12780,transcript/16257,transcript/13318
2144_16	4	transcript/21327,transcript/15903,transcript/49611,transcript/21321
2144_3	2	transcript/17265,transcript/17216
2145_0	2	transcript/10067,transcript/7512
2146_0	3	transcript/8104,transcript/7263,transcript/7852
2146_1	5	transcript/11650,transcript/13386,transcript/14319,transcript/11808,transcript/10167
2147_0	2	transcript/8235,transcript/10195
2148_0	6	transcript/9669,transcript/15780,transcript/11032,transcript/20432,transcript/12461,transcript/13791
2148_4	8	transcript/12599,transcript/12193,transcript/13211,transcript/10425,transcript/11436,transcript/9254,transcript/15366,transcript/12230
2149_0	2	transcript/18261,transcript/15688
2149_2	6	transcript/13754,transcript/12246,transcript/10550,transcript/17370,transcript/16709,transcript/8726
2150_0	2	transcript/16242,transcript/20990
2151_0	5	transcript/9327,transcript/10098,transcript/17087,transcript/15374,transcript/12043
2151_2	1	transcript/65869
2152_0	2	transcript/10155,transcript/9121
2153_0	3	transcript/10156,transcript/10096,transcript/13841
2153_1	3	transcript/9928,transcript/11643,transcript/10818
2154_0	2	transcript/10222,transcript/12450
2155_0	4	transcript/17379,transcript/14475,transcript/10243,transcript/9449
2156_0	4	transcript/52040,transcript/44293,transcript/4201,transcript/11681
2156_1	2	transcript/64086,transcript/51407
2156_2	2	transcript/8846,transcript/58773
2156_3	8	transcript/9886,transcript/48145,transcript/16452,transcript/47416,transcript/6200,transcript/38685,transcript/45692,transcript/20001
2156_14	2	transcript/17175,transcript/17377
2156_16	3	transcript/15510,transcript/18089,transcript/10317
2156_24	4	transcript/11693,transcript/14393,transcript/18908,transcript/12507
2157_0	3	transcript/10458,transcript/12983,transcript/11524
2158_0	3	transcript/14808,transcript/11093,transcript/10621
2159_0	5	transcript/21198,transcript/11029,transcript/22344,transcript/23944,transcript/19335
2160_0	7	transcript/11046,transcript/13405,transcript/5604,transcript/20426,transcript/22584,transcript/10572,transcript/16675
216_1	2	transcript/4736,transcript/5164
2162_0	3	transcript/13592,transcript/12493,transcript/15080
2162_1	3	transcript/8200,transcript/10135,transcript/11687
2162_2	3	transcript/11268,transcript/10687,transcript/15618
2163_0	5	transcript/10569,transcript/12639,transcript/8518,transcript/10209,transcript/13225
2164_0	3	transcript/11056,transcript/8017,transcript/10280
2165_0	10	transcript/4620,transcript/10411,transcript/14389,transcript/14608,transcript/14877,transcript/10877,transcript/13312,transcript/11699,transcript/11341,transcript/11459
2166_0	2	transcript/10488,transcript/10783
2167_0	3	transcript/10657,transcript/18162,transcript/19554
2168_0	3	transcript/10104,transcript/11646,transcript/11825
2169_0	3	transcript/17835,transcript/10212,transcript/8432
2170_0	5	transcript/10248,transcript/10925,transcript/14112,transcript/9467,transcript/21662
2171_0	2	transcript/10496,transcript/10276
217_0	2	transcript/1399,transcript/1509
217_2	2	transcript/54221,transcript/1535
2172_0	4	transcript/18494,transcript/14503,transcript/10538,transcript/10315
2174_0	6	transcript/12750,transcript/24190,transcript/7224,transcript/3942,transcript/15358,transcript/11763
2174_1	10	transcript/10390,transcript/21866,transcript/11890,transcript/9921,transcript/16067,transcript/4044,transcript/17423,transcript/11020,transcript/17090,transcript/10707
2175_0	2	transcript/10509,transcript/8356
2176_1	2	transcript/10624,transcript/15397
2177_0	2	transcript/10056,transcript/8870
2178_0	3	transcript/9632,transcript/10206,transcript/11526
2179_0	2	transcript/6225,transcript/6774
2179_2	2	transcript/10211,transcript/11248
2180_0	9	transcript/12881,transcript/9597,transcript/8237,transcript/12252,transcript/11185,transcript/7030,transcript/9643,transcript/12445,transcript/7521
2180_24	5	transcript/11834,transcript/9334,transcript/12828,transcript/6302,transcript/9688
2180_2	4	transcript/12331,transcript/10987,transcript/10304,transcript/41708
2180_3	8	transcript/13946,transcript/12390,transcript/8097,transcript/8509,transcript/7933,transcript/11359,transcript/10952,transcript/10935
2181_0	5	transcript/10234,transcript/18190,transcript/10926,transcript/11979,transcript/12737
218_0	2	transcript/1214,transcript/1499
2182_0	5	transcript/46167,transcript/44436,transcript/12082,transcript/42917,transcript/10364
2182_1	6	transcript/6988,transcript/41761,transcript/43927,transcript/46543,transcript/39415,transcript/37561
2183_0	8	transcript/11530,transcript/15775,transcript/14255,transcript/12765,transcript/11460,transcript/8965,transcript/10787,transcript/15265
2184_0	2	transcript/8482,transcript/10173
2185_0	3	transcript/16218,transcript/10301,transcript/7354
2186_0	6	transcript/11072,transcript/10825,transcript/50115,transcript/13233,transcript/11904,transcript/11887
2186_5	2	transcript/10476,transcript/11399
2187_0	5	transcript/14146,transcript/10528,transcript/10649,transcript/11596,transcript/13934
2187_9	5	transcript/3590,transcript/12952,transcript/12442,transcript/12998,transcript/10625
2188_0	4	transcript/11126,transcript/12868,transcript/10640,transcript/13672
2189_0	4	transcript/9997,transcript/21181,transcript/10712,transcript/15047
2189_3	1	transcript/66694
2190_0	6	transcript/11975,transcript/58844,transcript/14096,transcript/13383,transcript/10131,transcript/11113
2191_0	8	transcript/15970,transcript/9898,transcript/10165,transcript/10505,transcript/12005,transcript/12521,transcript/11129,transcript/20739
2192_0	3	transcript/10217,transcript/35835,transcript/27712
2193_0	2	transcript/12200,transcript/10225
2194_0	3	transcript/14785,transcript/10286,transcript/13474
2195_0	4	transcript/13111,transcript/12339,transcript/10361,transcript/10852
2195_8	3	transcript/16336,transcript/11294,transcript/9712
2195_4	3	transcript/12552,transcript/11796,transcript/10571
2196_0	4	transcript/9603,transcript/10362,transcript/12372,transcript/9050
2197_0	7	transcript/23755,transcript/15420,transcript/15149,transcript/10462,transcript/34717,transcript/12242,transcript/28359
2197_8	2	transcript/28434,transcript/30773
2198_0	2	transcript/6597,transcript/10232
2199_0	3	transcript/10240,transcript/12210,transcript/13774
2200_0	37	transcript/38944,transcript/45401,transcript/63801,transcript/42289,transcript/43371,transcript/16057,transcript/32893,transcript/38222,transcript/38182,transcript/9816,transcript/17716,transcript/38200,transcript/24256,transcript/28284,transcript/40263,transcript/20810,transcript/42414,transcript/63579,transcript/34240,transcript/13345,transcript/22853,transcript/34842,transcript/25108,transcript/43833,transcript/42112,transcript/27868,transcript/9487,transcript/36609,transcript/11515,transcript/34289,transcript/41327,transcript/46384,transcript/45013,transcript/21614,transcript/37518,transcript/20123,transcript/32168
220_0	5	transcript/1801,transcript/2745,transcript/1653,transcript/2265,transcript/1504
220_1	3	transcript/1872,transcript/3976,transcript/1704
220_8	4	transcript/2760,transcript/1858,transcript/1325,transcript/1438
2203_0	4	transcript/13836,transcript/9336,transcript/11905,transcript/10484
2204_0	4	transcript/10644,transcript/9855,transcript/14575,transcript/11958
2205_0	2	transcript/11203,transcript/12834
2208_0	3	transcript/10453,transcript/13524,transcript/10992
2209_0	3	transcript/12819,transcript/15090,transcript/10467
2210_0	2	transcript/10498,transcript/11384
2211_0	3	transcript/24828,transcript/12424,transcript/13207
2211_1	7	transcript/11274,transcript/12468,transcript/20036,transcript/10972,transcript/14023,transcript/12534,transcript/10761
221_0	5	transcript/1706,transcript/1326,transcript/1607,transcript/32510,transcript/1259
2212_0	2	transcript/10477,transcript/6796
2213_0	7	transcript/13685,transcript/10671,transcript/12205,transcript/15672,transcript/12700,transcript/15799,transcript/14874
2214_0	5	transcript/15683,transcript/10387,transcript/9959,transcript/10418,transcript/11665
2214_4	2	transcript/24303,transcript/26864
2215_1	2	transcript/10388,transcript/8940
2216_0	2	transcript/11330,transcript/10548
2217_0	2	transcript/9702,transcript/10647
2218_0	4	transcript/12852,transcript/10921,transcript/9268,transcript/11447
2218_1	2	transcript/10039,transcript/13074
2219_0	3	transcript/5283,transcript/8184,transcript/8952
2219_2	3	transcript/10340,transcript/13275,transcript/10827
2220_0	7	transcript/11855,transcript/9598,transcript/13677,transcript/15207,transcript/10464,transcript/10701,transcript/11575
2220_9	3	transcript/14976,transcript/62184,transcript/13128
2221_0	14	transcript/22681,transcript/36789,transcript/31167,transcript/32994,transcript/25753,transcript/31470,transcript/18441,transcript/22075,transcript/27307,transcript/28135,transcript/10479,transcript/25544,transcript/20692,transcript/19029
2222_0	3	transcript/10534,transcript/11533,transcript/8904
222_0	3	transcript/1221,transcript/1736,transcript/1262
2223_0	6	transcript/48316,transcript/41378,transcript/11462,transcript/10611,transcript/35574,transcript/63702
2223_2	2	transcript/12330,transcript/12729
2223_6	1	transcript/64877
2224_0	5	transcript/15447,transcript/13310,transcript/10697,transcript/14090,transcript/23010
2225_0	4	transcript/11162,transcript/11493,transcript/10808,transcript/21997
2226_128	20	transcript/15309,transcript/27098,transcript/7905,transcript/11257,transcript/30912,transcript/28456,transcript/20978,transcript/26152,transcript/16814,transcript/27705,transcript/25177,transcript/20254,transcript/21180,transcript/35885,transcript/56799,transcript/28742,transcript/44599,transcript/26676,transcript/57218,transcript/28325
2226_129	2	transcript/55713,transcript/54218
2226_2	37	transcript/39545,transcript/28372,transcript/41457,transcript/29177,transcript/34866,transcript/54381,transcript/32717,transcript/25124,transcript/18603,transcript/47115,transcript/34428,transcript/15815,transcript/46668,transcript/62855,transcript/37110,transcript/45248,transcript/35635,transcript/43884,transcript/33899,transcript/30685,transcript/39889,transcript/29198,transcript/32565,transcript/47908,transcript/38898,transcript/42364,transcript/15727,transcript/31555,transcript/37137,transcript/17341,transcript/27258,transcript/32198,transcript/34920,transcript/39903,transcript/44967,transcript/49549,transcript/41301
2226_134	8	transcript/61384,transcript/55911,transcript/53662,transcript/54678,transcript/54425,transcript/55442,transcript/50978,transcript/60296
2226_16	3	transcript/26019,transcript/24942,transcript/22714
2226_145	5	transcript/43284,transcript/49411,transcript/44380,transcript/46150,transcript/65819
2226_18	2	transcript/21379,transcript/40926
2226_24	5	transcript/52010,transcript/60567,transcript/57996,transcript/54471,transcript/54391
2226_25	2	transcript/54363,transcript/54486
2226_155	3	transcript/41622,transcript/35942,transcript/40238
2226_32	5	transcript/27375,transcript/30539,transcript/35071,transcript/33908,transcript/34006
2226_161	2	transcript/40041,transcript/48628
2226_34	3	transcript/1769,transcript/48001,transcript/45885
2226_37	6	transcript/50051,transcript/59558,transcript/54533,transcript/53508,transcript/64550,transcript/55153
2226_169	4	transcript/42560,transcript/54490,transcript/57324,transcript/64788
2226_170	2	transcript/30191,transcript/23149
2226_176	2	transcript/15627,transcript/19196
2226_174	2	transcript/10681,transcript/24585
2226_48	4	transcript/52659,transcript/55518,transcript/61622,transcript/58308
2226_177	2	transcript/5787,transcript/10796
2226_183	4	transcript/63307,transcript/59555,transcript/55314,transcript/56095
2226_56	1	transcript/25064
2226_58	3	transcript/55372,transcript/2315,transcript/2097
2226_64	3	transcript/32875,transcript/42870,transcript/34271
2226_65	2	transcript/44639,transcript/43617
2226_73	4	transcript/42615,transcript/42435,transcript/38606,transcript/38957
2226_76	1	transcript/22226
2226_83	8	transcript/2862,transcript/3201,transcript/28539,transcript/18197,transcript/24820,transcript/2824,transcript/29031,transcript/22807
2226_86	1	transcript/60043
2226_152	4	transcript/58979,transcript/62046,transcript/54728,transcript/56070
2226_92	2	transcript/6272,transcript/43948
2226_98	3	transcript/5723,transcript/4972,transcript/6324
2226_100	2	transcript/3541,transcript/2357
2226_104	5	transcript/46528,transcript/42579,transcript/46477,transcript/48798,transcript/53769
2226_112	5	transcript/45296,transcript/42887,transcript/42180,transcript/44281,transcript/42611
2226_121	4	transcript/37549,transcript/46138,transcript/39982,transcript/37008
2226_124	3	transcript/31135,transcript/32362,transcript/40715
2227_0	8	transcript/14328,transcript/10533,transcript/12726,transcript/12133,transcript/10471,transcript/13044,transcript/11591,transcript/12376
2228_0	2	transcript/9840,transcript/10585
2229_0	3	transcript/10613,transcript/11478,transcript/12172
2230_0	3	transcript/38963,transcript/10722,transcript/35703
2231_0	3	transcript/11116,transcript/9911,transcript/7826
223_0	4	transcript/871,transcript/1384,transcript/1510,transcript/1227
2233_0	2	transcript/10117,transcript/8365
2234_0	6	transcript/35906,transcript/20237,transcript/39613,transcript/15452,transcript/31906,transcript/10468
2235_0	4	transcript/10739,transcript/10616,transcript/12125,transcript/13521
2237_0	2	transcript/10856,transcript/9014
2237_1	2	transcript/13069,transcript/10474
2238_0	3	transcript/10589,transcript/14766,transcript/13581
2239_0	2	transcript/13323,transcript/10742
2240_0	13	transcript/15402,transcript/12511,transcript/9148,transcript/10951,transcript/18720,transcript/10695,transcript/12414,transcript/11592,transcript/13097,transcript/10891,transcript/12528,transcript/11238,transcript/13990
2240_8	5	transcript/36284,transcript/14579,transcript/10630,transcript/17098,transcript/18856
2241_0	5	transcript/8282,transcript/22800,transcript/11439,transcript/12284,transcript/16809
2242_0	4	transcript/10393,transcript/12377,transcript/11869,transcript/14634
224_1	5	transcript/9461,transcript/1119,transcript/2056,transcript/2125,transcript/2559
2243_0	2	transcript/10483,transcript/7569
2244_0	5	transcript/10663,transcript/17782,transcript/21510,transcript/8703,transcript/10832
2245_0	2	transcript/12276,transcript/10801
2246_0	2	transcript/11054,transcript/12119
2248_0	3	transcript/13519,transcript/43985,transcript/11293
2249_0	2	transcript/9318,transcript/7092
2250_0	2	transcript/10588,transcript/12066
2251_0	4	transcript/10904,transcript/10603,transcript/12659,transcript/9422
2252_0	2	transcript/10723,transcript/9118
225_0	7	transcript/20972,transcript/22685,transcript/22452,transcript/18078,transcript/21698,transcript/1231,transcript/18553
2253_0	3	transcript/42656,transcript/10790,transcript/45467
2254_0	3	transcript/10905,transcript/18067,transcript/10835
2256_0	3	transcript/51006,transcript/10448,transcript/53259
2257_0	2	transcript/10503,transcript/10686
2258_0	2	transcript/10542,transcript/17648
2259_0	6	transcript/8437,transcript/15174,transcript/12571,transcript/22395,transcript/10546,transcript/13220
2259_1	7	transcript/4500,transcript/4828,transcript/4516,transcript/5835,transcript/6090,transcript/6539,transcript/4981
2260_0	6	transcript/11321,transcript/13407,transcript/7499,transcript/11949,transcript/8201,transcript/10561
2261_0	3	transcript/10746,transcript/12020,transcript/10706
2262_0	4	transcript/10489,transcript/13348,transcript/12792,transcript/11007
226_0	3	transcript/1272,transcript/1422,transcript/1587
2263_0	2	transcript/10536,transcript/8279
2264_0	2	transcript/13951,transcript/10730
2264_1	5	transcript/12319,transcript/10821,transcript/11068,transcript/10938,transcript/11691
2265_0	3	transcript/10767,transcript/21533,transcript/16758
2266_0	2	transcript/10771,transcript/18498
2267_0	6	transcript/13935,transcript/14611,transcript/13928,transcript/12943,transcript/17278,transcript/10922
2268_0	8	transcript/10974,transcript/18044,transcript/12299,transcript/14390,transcript/13358,transcript/20453,transcript/11496,transcript/17706
2269_1	3	transcript/24147,transcript/26178,transcript/27711
2270_0	4	transcript/14227,transcript/13823,transcript/16701,transcript/10736
2272_0	10	transcript/16624,transcript/16506,transcript/21837,transcript/14034,transcript/17487,transcript/14304,transcript/10523,transcript/18100,transcript/18637,transcript/11256
227_0	5	transcript/1279,transcript/2171,transcript/1792,transcript/1953,transcript/1482
2273_0	2	transcript/11872,transcript/10923
2274_0	5	transcript/15870,transcript/11255,transcript/18096,transcript/8994,transcript/16113
2275_0	4	transcript/10590,transcript/12585,transcript/11871,transcript/12411
2276_0	2	transcript/10610,transcript/25452
2277_0	4	transcript/10355,transcript/14889,transcript/10559,transcript/13316
2278_0	2	transcript/10626,transcript/9544
2279_0	4	transcript/13882,transcript/7451,transcript/11609,transcript/10768
2280_0	2	transcript/13533,transcript/10797
2281_0	7	transcript/11319,transcript/63174,transcript/14717,transcript/17954,transcript/16517,transcript/13856,transcript/10895
2282_0	3	transcript/38425,transcript/10929,transcript/34719
228_0	3	transcript/1333,transcript/1097,transcript/1559
2283_0	5	transcript/4779,transcript/8227,transcript/6738,transcript/9987,transcript/5623
2283_5	2	transcript/12094,transcript/13237
2284_0	4	transcript/17731,transcript/24541,transcript/22202,transcript/23942
2284_1	9	transcript/44400,transcript/16563,transcript/14674,transcript/6072,transcript/5204,transcript/11660,transcript/15292,transcript/16293,transcript/15875
2284_13	2	transcript/10653,transcript/15702
2285_0	3	transcript/8976,transcript/11918,transcript/13067
2285_1	2	transcript/10668,transcript/12256
2286_1	9	transcript/24913,transcript/14707,transcript/11161,transcript/14251,transcript/18737,transcript/13159,transcript/15082,transcript/16255,transcript/11928
2287_0	3	transcript/8608,transcript/10846,transcript/10785
2288_0	2	transcript/20880,transcript/10871
2289_0	5	transcript/11003,transcript/13095,transcript/12440,transcript/13916,transcript/13435
2289_8	1	transcript/65914
